"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10872","test1","webkit","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","3415","test2","firefox","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","5685","test5","firefox","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
"","4173","test5","chromium","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
"","3996","test3","chromium","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","5458","test3","firefox","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","5708","test2","webkit","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","4778","test1","firefox","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","11529","test4","firefox","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","2775","test2","chromium","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","3377","test1","chromium","2026-07-05","passed","2026-07-05","Checking registration functionality with valid data","specs/test1.spec.ts","",""
"","8525","test4","chromium","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","12456","test4","webkit","2026-07-05","passed","2026-07-05","Checking navigation menu links","specs/test4.spec.ts","",""
"","6196","test3","webkit","2026-07-05","passed","2026-07-05","Checking login functionality with invalid data (valid login and invalid password), Checking login functionality with invalid data (invalid login and invalid password","specs/test2-3.spec.ts","",""
"","6018","test5","webkit","2026-07-05","passed","2026-07-05","Checking search functionality","specs/test5.spec.ts","",""
